event_id,period,buys,sells,sentiment
0001096906-24-001831,-6,0,0,-0.7333328177782787
0001096906-24-001831,-5,0,0,-0.7333328177782787
0001096906-24-001831,-4,0,0,-0.7333328177782787
0001096906-24-001831,-3,0,0,-0.7333328177782787
0001096906-24-001831,-2,0,0,-0.7333328177782787
0001096906-24-001831,-1,0,0,-0.7333328177782787
0001096906-24-001831,0,0,0,-0.7333328177782787
0001096906-24-001831,1,0,0,-0.7333328177782787
0001096906-24-001831,2,0,0,-0.7333328177782787
0001096906-24-001831,3,0,0,-0.7333328177782787
0001096906-24-001831,4,0,0,-0.7333328177782787
0001096906-24-001831,5,0,0,-0.7333328177782787
0001096906-24-001831,6,0,0,-0.7333328177782787
0001096906-24-001831,7,0,0,-0.7333328177782787
0001096906-24-001831,8,0,0,-0.7333328177782787
0001096906-24-001848,-8,0,0,0.999999000001
0001096906-24-001848,-7,0,0,0.999999000001
0001096906-24-001848,-6,0,0,0.999999000001
0001096906-24-001848,-5,0,0,0.999999000001
0001096906-24-001848,-4,0,0,0.999999000001
0001096906-24-001848,-3,0,0,0.999999000001
0001096906-24-001848,-2,0,0,0.999999000001
0001096906-24-001848,-1,0,0,0.999999000001
0001096906-24-001848,0,0,0,0.999999000001
0001096906-24-001848,1,0,0,0.999999000001
0001096906-24-001848,2,0,0,0.999999000001
0001096906-24-001848,3,0,0,0.999999000001
0001096906-24-001848,4,0,0,0.999999000001
0001096906-24-001848,5,0,0,0.999999000001
0001096906-24-001848,6,0,0,0.999999000001
0001096906-24-001848,7,0,0,0.999999000001
0001096906-24-001848,8,0,0,0.999999000001
0001096906-24-001985,-8,0,0,-0.30666663328889365
0001096906-24-001985,-7,0,0,-0.30666663328889365
0001096906-24-001985,-6,0,0,-0.30666663328889365
0001096906-24-001985,-5,0,0,-0.30666663328889365
0001096906-24-001985,-4,0,0,-0.30666663328889365
0001096906-24-001985,-3,0,0,-0.30666663328889365
0001096906-24-001985,-2,0,0,-0.30666663328889365
0001096906-24-001985,-1,0,0,-0.30666663328889365
0001096906-24-001985,0,0,0,-0.30666663328889365
0001096906-24-001985,1,0,0,-0.30666663328889365
0001096906-24-001985,2,0,0,-0.30666663328889365
0001096906-24-001985,3,0,0,-0.30666663328889365
0001096906-24-001985,4,0,0,-0.30666663328889365
0001096906-24-001985,5,0,0,-0.30666663328889365
0001096906-24-001985,6,0,0,-0.30666663328889365
0001096906-24-001985,7,1,0,-0.30666663328889365
0001096906-24-001985,8,0,0,-0.30666663328889365
0001096906-24-002002,-8,0,0,0.1764705778546718
0001096906-24-002002,-7,0,0,0.1764705778546718
0001096906-24-002002,-6,0,0,0.1764705778546718
0001096906-24-002002,-5,0,0,0.1764705778546718
0001096906-24-002002,-4,0,0,0.1764705778546718
0001096906-24-002002,-3,0,0,0.1764705778546718
0001096906-24-002002,-2,0,0,0.1764705778546718
0001096906-24-002002,-1,0,0,0.1764705778546718
0001096906-24-002002,0,0,0,0.1764705778546718
